number,value,datetime_start,datetime_complete,duration,params_eta,params_gamma,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
46,0.642902235228879,2024-01-28 19:41:32.343938,2024-01-28 19:42:29.938835,0 days 00:00:57.594897,0.5779265252913086,9.371310005010356,21,1700,31.262942991922507,84.03023310395876,0.6300777984310629,COMPLETE
47,0.6095616324326585,2024-01-28 19:41:35.073528,2024-01-28 19:42:32.673462,0 days 00:00:57.599934,0.5499272139789526,12.125152991489086,20,1700,34.14296332926641,87.10127167372272,0.5907253788204389,COMPLETE
48,0.6329662820717316,2024-01-28 19:41:39.143528,2024-01-28 19:42:33.141524,0 days 00:00:53.997996,0.6132524675076201,10.272674803822389,20,1450,31.41509108931173,82.70732535621508,0.5999870480296656,COMPLETE
49,0.6443882365608457,2024-01-28 19:41:49.874629,2024-01-28 19:42:40.536726,0 days 00:00:50.662097,0.908108498189296,9.262916586445881,7,2950,32.584379600145056,84.2970617262687,0.6042797897629918,COMPLETE
50,0.5,2024-01-28 19:41:54.161218,2024-01-28 19:42:42.411048,0 days 00:00:48.249830,0.5759768785287532,36.44342185099,7,3150,30.765185879018517,85.69513732238346,0.5962823193603004,COMPLETE
51,0.5,2024-01-28 19:41:55.263218,2024-01-28 19:42:44.487845,0 days 00:00:49.224627,0.8899508707146263,36.000886793041715,20,3150,32.49272597053305,86.67634856983304,0.598146751422022,COMPLETE
52,0.569997987626673,2024-01-28 19:42:04.777478,2024-01-28 19:42:51.292500,0 days 00:00:46.515022,0.8997163584103469,21.88657096416112,20,3200,31.10145803540675,80.39784835004411,0.5898514946618376,COMPLETE
53,0.5,2024-01-28 19:42:05.584479,2024-01-28 19:42:51.812499,0 days 00:00:46.228020,0.9124365510841271,39.080529940579055,20,2800,31.734054620409072,86.04889696312937,0.5856323720025948,COMPLETE
54,0.5595763838646227,2024-01-28 19:42:11.317034,2024-01-28 19:42:55.077119,0 days 00:00:43.760085,0.8997950345873728,22.26508378390429,20,3000,31.002361206287137,86.36010798742836,0.6022257462284859,COMPLETE
55,0.5848682704844007,2024-01-28 19:42:12.199035,2024-01-28 19:43:02.319872,0 days 00:00:50.120837,0.8961201876616703,20.137648196781754,22,3100,32.599883286840814,0.7773674743817764,0.5529321850251121,COMPLETE
56,0.572500656665819,2024-01-28 19:42:12.364035,2024-01-28 19:43:02.741875,0 days 00:00:50.377840,0.8993786941568346,21.693981491629977,22,3050,33.7488929598014,17.720993200650234,0.5590292017968452,COMPLETE
57,0.6399160336585664,2024-01-28 19:42:21.493700,2024-01-28 19:43:08.627563,0 days 00:00:47.133863,0.895403559061165,8.674453402917475,22,3900,34.10525777558152,52.109496543021116,0.8074987893394037,COMPLETE
58,0.6404062169451403,2024-01-28 19:42:22.812700,2024-01-28 19:43:16.486491,0 days 00:00:53.673791,0.8886002848105697,21.657856570563688,22,4050,11.607854470771938,0.994227665689916,0.5696308184461486,COMPLETE
59,0.6411386201860596,2024-01-28 19:42:23.934701,2024-01-28 19:43:16.639492,0 days 00:00:52.704791,0.8922222525099207,21.436441226068943,22,4000,11.21187238425091,0.7159161093755344,0.8152816645452678,COMPLETE
60,0.63673724094976,2024-01-28 19:42:27.277258,2024-01-28 19:43:22.125875,0 days 00:00:54.848617,0.8910380435448306,21.508455330183423,22,3950,11.93422839846375,18.76896154517221,0.8026998287403634,COMPLETE
61,0.637700999663983,2024-01-28 19:42:28.267259,2024-01-28 19:43:29.855043,0 days 00:01:01.587784,0.9011798539032871,22.331898828951037,22,4050,8.933042069059077,53.13915238137426,0.8389011537840135,COMPLETE
62,0.636241365978723,2024-01-28 19:42:30.065835,2024-01-28 19:43:30.501075,0 days 00:01:00.435240,0.913215252943742,24.3806792582107,16,3900,10.35768009207513,0.8849081353524895,0.8210093578327615,COMPLETE
63,0.6413084811351484,2024-01-28 19:42:32.820463,2024-01-28 19:43:35.695888,0 days 00:01:02.875425,0.8845830921268507,20.938598841708817,17,3950,10.176537255610254,3.716010770696748,0.7895260362144015,COMPLETE
64,0.635112442969751,2024-01-28 19:42:33.255522,2024-01-28 19:43:38.089952,0 days 00:01:04.834430,0.885732409896823,20.96581614417389,17,3800,9.56649488996246,1.3841080672577633,0.8199997921903113,COMPLETE
65,0.6421278044619865,2024-01-28 19:42:40.646796,2024-01-28 19:43:44.060635,0 days 00:01:03.413839,0.9022714899083986,20.623147148856315,17,3950,9.494669967114682,1.7794012735378253,0.7788383607563674,COMPLETE
66,0.6397754507657563,2024-01-28 19:42:42.540048,2024-01-28 19:43:48.012190,0 days 00:01:05.472142,0.881274957034117,21.57212161115821,17,3900,10.49066631837179,1.5948952134640209,0.7973600036430196,COMPLETE
67,0.6376186101537948,2024-01-28 19:42:44.631846,2024-01-28 19:43:51.750774,0 days 00:01:07.118928,0.9217502568910559,21.966552454263223,16,3950,9.31671460759895,19.668626992189118,0.8227642228955664,COMPLETE
68,0.6498450711923321,2024-01-28 19:42:51.433499,2024-01-28 19:43:57.110489,0 days 00:01:05.676990,0.8461091129336409,17.62356662372676,17,3800,11.6569351348985,1.8069418165335591,0.7996351112718094,COMPLETE
69,0.6318183093076584,2024-01-28 19:42:51.947499,2024-01-28 19:44:01.043706,0 days 00:01:09.096207,0.8597650688420436,23.14707673023778,17,3850,9.441990302957809,51.12532512918574,0.794326712589137,COMPLETE
70,0.6588428390932958,2024-01-28 19:42:55.191120,2024-01-28 19:44:05.653423,0 days 00:01:10.462303,0.8566083888051051,16.16900469625491,17,4000,0.43784740585770976,18.606359783758105,0.838999162712416,COMPLETE
71,0.6747252083204109,2024-01-28 19:43:02.489873,2024-01-28 19:44:11.677746,0 days 00:01:09.187873,0.8517676336755481,5.70933216579701,17,4050,11.129959335223345,17.850552070496402,0.823144055589482,COMPLETE
72,0.645596254192957,2024-01-28 19:43:02.873875,2024-01-28 19:44:12.427745,0 days 00:01:09.553870,0.7511714704984732,15.089132611838656,15,3900,7.235377652498201,72.31355116910989,0.7729884226939989,COMPLETE
73,0.5133376206719642,2024-01-28 19:43:08.748208,2024-01-28 19:44:19.303270,0 days 00:01:10.555062,0.8421978395719314,62.80246762469668,17,4150,10.843777231622946,33.015719946887025,0.7289022643270591,COMPLETE
74,0.6662624070180863,2024-01-28 19:43:16.619490,2024-01-28 19:44:20.070407,0 days 00:01:03.450917,0.7698375929880178,14.512047931560785,17,2450,0.10746962759468204,34.48237105923314,0.6852676345654616,COMPLETE
75,0.5675074026255496,2024-01-28 19:43:16.767491,2024-01-28 19:44:27.294749,0 days 00:01:10.527258,0.7566275415897659,15.649404254964713,16,4400,49.45552633913331,72.44876606677559,0.7580861357312001,COMPLETE
76,0.5572919321397283,2024-01-28 19:43:22.261390,2024-01-28 19:44:20.208408,0 days 00:00:57.947018,0.8439625165097725,15.21325147653379,17,1200,51.63994201833215,34.41374273377949,0.6856189671579841,COMPLETE
77,0.6459648801165867,2024-01-28 19:43:29.964558,2024-01-28 19:44:27.636750,0 days 00:00:57.672192,0.9349618583675829,15.179315223930734,18,2450,5.550116862784872,69.07106432554986,0.7021121746087756,COMPLETE
78,0.6396589292994257,2024-01-28 19:43:30.620073,2024-01-28 19:44:36.695493,0 days 00:01:06.075420,0.7623964142022929,5.2848553303928245,17,4650,50.07593029911557,34.276484781823285,0.6948116256384127,COMPLETE
79,0.6473130553720653,2024-01-28 19:43:35.826889,2024-01-28 19:44:35.928968,0 days 00:01:00.102079,0.841443882480342,15.485008699446196,13,2500,15.183321655089431,35.61297758256153,0.7054731731475875,COMPLETE
80,0.6506575520955067,2024-01-28 19:43:38.229984,2024-01-28 19:44:31.020816,0 days 00:00:52.790832,0.9432682049838,15.28558770965898,13,950,0.2868528833516173,74.80131001842197,0.6884375556976219,COMPLETE
81,0.5224320910840046,2024-01-28 19:43:44.204637,2024-01-28 19:44:34.555855,0 days 00:00:50.351218,0.942172639682143,16.066534721391445,18,1000,54.34103594680394,34.88747600307845,0.6947634990402957,COMPLETE
82,0.661211057289076,2024-01-28 19:43:48.125188,2024-01-28 19:44:38.230007,0 days 00:00:50.104819,0.8386425787555528,15.161581597719096,5,1050,1.2417842862419164,35.94582204516178,0.679536767748947,COMPLETE
83,0.5892498537706203,2024-01-28 19:43:51.871773,2024-01-28 19:44:43.432564,0 days 00:00:51.560791,0.8332694522206892,15.466654779232284,13,2400,38.600728864541786,75.58607390507485,0.7312517388659602,COMPLETE
84,0.6411235957826997,2024-01-28 19:43:57.243668,2024-01-28 19:44:44.414638,0 days 00:00:47.170970,0.7680800507418684,5.718966699603068,5,2400,52.58216241758679,71.77813311608622,0.6805264422916274,COMPLETE
85,0.5313067017104633,2024-01-28 19:44:01.147364,2024-01-28 19:44:52.410012,0 days 00:00:51.262648,0.9435084319829694,14.577823250547802,5,4400,56.063248563286464,73.59324981357453,0.7026398681629831,COMPLETE
86,0.6589913015923156,2024-01-28 19:44:05.767425,2024-01-28 19:45:00.423828,0 days 00:00:54.656403,0.7605850491711853,5.251982861656966,13,4650,3.0852337312329716,36.02457905019043,0.686420779126745,COMPLETE
87,0.650564709243157,2024-01-28 19:44:11.802746,2024-01-28 19:45:00.597960,0 days 00:00:48.795214,0.7694598970924872,5.424968697464827,13,4450,1.2930749310333862,32.742475832432135,0.6927072658381423,COMPLETE
88,0.639440462364999,2024-01-28 19:44:12.540747,2024-01-28 19:45:08.635258,0 days 00:00:56.094511,0.9463466357653285,5.896147433685706,5,4300,0.2049700444043392,34.94727151891761,0.6809906845833061,COMPLETE
89,0.6449620622101978,2024-01-28 19:44:19.439272,2024-01-28 19:45:16.754540,0 days 00:00:57.315268,0.9418864449178199,5.6985145318539665,13,4400,0.2610197810212185,37.07392630632805,0.6738205150282772,COMPLETE
90,0.6598696996605549,2024-01-28 19:44:20.184408,2024-01-28 19:45:16.458501,0 days 00:00:56.274093,0.747717820690323,5.665808580211776,13,4500,0.0849046375205395,10.585017218540415,0.9017433003656641,COMPLETE
91,0.6652806429923537,2024-01-28 19:44:20.325407,2024-01-28 19:45:21.221374,0 days 00:01:00.895967,0.7434627846511659,5.475225691548759,13,3550,15.39062096951458,10.248974296279147,0.8906739130966884,COMPLETE
92,0.6613583688946575,2024-01-28 19:44:27.434751,2024-01-28 19:45:26.147025,0 days 00:00:58.712274,0.7916727535263351,5.532347377098835,14,3500,0.5709837606374126,22.336079789039847,0.9009066070678846,COMPLETE
93,0.6655221807643971,2024-01-28 19:44:27.744752,2024-01-28 19:45:29.703172,0 days 00:01:01.958420,0.8024691128523441,5.9526530837382445,14,3600,1.2962891873297393,22.788111546290494,0.8677487808199419,COMPLETE
94,0.6650005834146879,2024-01-28 19:44:31.132818,2024-01-28 19:45:33.461368,0 days 00:01:02.328550,0.7170684507481287,6.167125225283424,19,3550,1.0063367919602206,11.088642405801723,0.8952622607927495,COMPLETE
95,0.6579499834617438,2024-01-28 19:44:34.691855,2024-01-28 19:45:41.879877,0 days 00:01:07.188022,0.7975873883106686,6.136529396974881,19,4550,0.08798108964194168,21.82631901032382,0.8670835703076063,COMPLETE
96,0.6584851809900905,2024-01-28 19:44:36.048967,2024-01-28 19:45:45.658550,0 days 00:01:09.609583,0.7812597476066682,5.617599896115949,19,4650,0.88344778432071,22.828670676826505,0.915222059334777,COMPLETE
97,0.6590909780055826,2024-01-28 19:44:36.840491,2024-01-28 19:45:44.905973,0 days 00:01:08.065482,0.8128871388207021,6.043112749265168,5,3550,16.596263814242565,23.157580401280406,0.9818229389322821,COMPLETE
98,0.6786383265665614,2024-01-28 19:44:38.340007,2024-01-28 19:45:52.392288,0 days 00:01:14.052281,0.8011201816324238,6.241696454441674,19,4300,0.22994892162329855,41.04805666857197,0.8702734005311016,COMPLETE
99,0.6667288847465075,2024-01-28 19:44:43.582119,2024-01-28 19:45:52.327067,0 days 00:01:08.744948,0.8062453751656442,5.488697741855814,19,3500,0.06387858273183866,41.34838685337293,0.9304149243280347,COMPLETE
